Sample,File,Kit,Individual,Replicate,Sensitivity
Flex_F1A,B2-FL-F1A_BC01,Flex,F1,A,5
Flex_F1B,B2-FL-F1B_BC02,Flex,F1,B,5
Flex_F5A,B2-FL-F5A_BC03,Flex,F5,A,5
Flex_F5B,B2-FL-F5B_BC04,Flex,F5,B,5
Fluent_v4_F1A,B2-FBv4_F1A,Fluent_v4,F1,A,5
Fluent_v4_F1B,B2-FBv4_F1B,Fluent_v4,F1,B,5
Fluent_v4_F5A,B2-FBv4_F5A,Fluent_v4,F5,A,5
Fluent_v4_F5B,B2-FBv4_F5B,Fluent_v4,F5,B,4
Fluent_V_F1A,B2-FBv5_F1A,Fluent_V,F1,A,3
Fluent_V_F1B,B2-FBv5_F1B,Fluent_V,F1,B,3
Fluent_V_F5A,B2-FBv5_F5A,Fluent_V,F5,A,3
Fluent_V_F5B,B2-FBv5_F5B,Fluent_V,F5,B,3
GEMX3P_F1A,GEMX_F1A,GEMX3P,F1,A,NA
GEMX3P_F1B,GEMX_F1B,GEMX3P,F1,B,NA
GEMX3P_F5A,GEMX_F5A,GEMX3P,F5,A,NA
GEMX3P_F5B,GEMX_F5B,GEMX3P,F5,B,NA
NextGEM3P_F1A,NextGEM_F1A,NextGEM3P,F1,A,NA
NextGEM3P_F1B,NextGEM_F1B,NextGEM3P,F1,B,NA
NextGEM3P_F5A,NextGEM_F5A,NextGEM3P,F5,A,NA
NextGEM3P_F5B,NextGEM_F5B,NextGEM3P,F5,B,NA
Parse_v3_F1A,B2-PA-F1A,Parse_v3,F1,A,NA
Parse_v3_F1B,B2-PA-F1B,Parse_v3,F1,B,NA
Parse_v3_F5A,B2-PA-F5A,Parse_v3,F5,A,NA
Parse_v3_F5B,B2-PA-F5B,Parse_v3,F5,B,NA
Scale_F1A,F5A,Scale,F1,A,NA
Scale_F1B,F1B,Scale,F1,B,NA
Scale_F5A,F1A,Scale,F5,A,NA
Scale_F5B,F5B,Scale,F5,B,NA
