Sample,File,Kit,Individual,Replicate,Sensitivity
Flex_F1A,B2-FL-F1A_BC01,Flex,F1,A,5
Flex_F1B,B2-FL-F1B_BC02,Flex,F1,B,5
Flex_F5A,B2-FL-F5A_BC03,Flex,F5,A,5
Flex_F5B,B2-FL-F5B_BC04,Flex,F5,B,5
FB_2_F1A,B2_FB_F1A,Fluent,F1,A,5
FB_2_F1B,B2_FB_F1B,Fluent,F1,B,5
FB_2_F5A,B2_FB_F5A,Fluent,F5,A,5
FB_2_F5B,B2_FB_F5B,Fluent,F5,B,5
GEMX3P_F1A,GEMX_F1A,GEMX3P,F1,A,NA
GEMX3P_F1B,GEMX_F1B,GEMX3P,F1,B,NA
GEMX3P_F5A,GEMX_F5A,GEMX3P,F5,A,NA
GEMX3P_F5B,GEMX_F5B,GEMX3P,F5,B,NA
NextGEM3P_F1A,NextGEM_F1A,NextGEM3P,F1,A,NA
NextGEM3P_F1B,NextGEM_F1B,NextGEM3P,F1,B,NA
NextGEM3P_F5A,NextGEM_F5A,NextGEM3P,F5,A,NA
NextGEM3P_F5B,NextGEM_F5B,NextGEM3P,F5,B,NA
PA_V3_F1A,B2-PA-F1A,Parse_V3,F1,A,NA
PA_V3_F1B,B2-PA-F1B,Parse_V3,F1,B,NA
PA_V3_F5A,B2-PA-F5A,Parse_V3,F5,A,NA
PA_V3_F5B,B2-PA-F5B,Parse_V3,F5,B,NA
Scale_F1A,F1A.bothruns,Scale,F1,A,NA
Scale_F1B,F1B.bothruns,Scale,F1,B,NA
Scale_F5A,F5A.bothruns,Scale,F5,A,NA
Scale_F5B,F5B.bothruns,Scale,F5,B,NA
