Sample,cells_loaded,target_cells,target_cells_fraction,cells_recovered,cells_barcoded
Flex_F1A,16871,10000,0.5927331,10024,
Flex_F1B,16871,10000,0.5927331,10952,
Flex_F5A,16871,10000,0.5927331,10397,
Flex_F5B,16871,10000,0.5927331,9408,
Fluent_v4_F1A,41440,20000,0.5,18953,
Fluent_v4_F1B,40000,20000,0.5,16574,
Fluent_v4_F5A,40000,20000,0.5,16646,
Fluent_v4_F5B,40000,20000,0.5,15151,
Fluent_V_F1A,40216,20000,0.5,18709,
Fluent_V_F1B,40216,20000,0.5,17607,
Fluent_V_F5A,39744,20000,0.5,18010,
Fluent_V_F5B,39744,20000,0.5,18997,
GEMX3P_F1A,45885,20000,0.6898931,37147,
GEMX3P_F1B,45885,20000,0.6898931,38360,
GEMX3P_F5A,37265,20000,0.6898931,32383,
GEMX3P_F5B,37265,20000,0.6898931,31155,
NextGEM3P_F1A,26077,10000,0.6060606,16338,
NextGEM3P_F1B,26077,10000,0.6060606,16403,
NextGEM3P_F5A,21202,10000,0.6060606,13078,
NextGEM3P_F5B,21202,10000,0.6060606,13413,
Parse_v3_F1A,81648,25000,0.2861722,26679,
Parse_v3_F1B,100128,25000,0.2861722,18961,
Parse_v3_F5A,98280,25000,0.2861722,25214,
Parse_v3_F5B,92904,25000,0.2861722,20142,
Scale_F5A,125000,31250,0.25,33298,230000
Scale_F1B,125000,31250,0.25,30025,230000
Scale_F1A,125000,31250,0.25,15782,230000
Scale_F5B,125000,31250,0.25,39642,230000
