Kit,Sample,nreads,median_genes,median_umi
Fluent_v4,Fluent_v4_F1A,1000,246,293
Fluent_v4,Fluent_v4_F1A,2500,477,647
Fluent_v4,Fluent_v4_F1A,5000,719,1086
Fluent_v4,Fluent_v4_F1A,7500,874,1403
Fluent_v4,Fluent_v4_F1A,10000,984,1642
Fluent_v4,Fluent_v4_F1A,12500,1064,1829
Fluent_v4,Fluent_v4_F1A,15000,1127,1984
Fluent_v4,Fluent_v4_F1A,17500,1177,2112
Fluent_v4,Fluent_v4_F1A,20000,1219,2220
Fluent_v4,Fluent_v4_F1A,22500,1254,2313
Fluent_v4,Fluent_v4_F1A,25000,1283,2391
Fluent_v4,Fluent_v4_F1B,1000,227,267
Fluent_v4,Fluent_v4_F1B,2500,448,595
Fluent_v4,Fluent_v4_F1B,5000,683,1008
Fluent_v4,Fluent_v4_F1B,7500,835,1311
Fluent_v4,Fluent_v4_F1B,10000,944,1544
Fluent_v4,Fluent_v4_F1B,12500,1025,1726
Fluent_v4,Fluent_v4_F1B,15000,1088,1873
Fluent_v4,Fluent_v4_F1B,17500,1138,1997
Fluent_v4,Fluent_v4_F1B,20000,1179,2102
Fluent_v4,Fluent_v4_F1B,22500,1215,2194
Fluent_v4,Fluent_v4_F1B,25000,1245,2270
Fluent_v4,Fluent_v4_F5A,1000,246,292
Fluent_v4,Fluent_v4_F5A,2500,482,645
Fluent_v4,Fluent_v4_F5A,5000,728,1084
Fluent_v4,Fluent_v4_F5A,7500,886,1405
Fluent_v4,Fluent_v4_F5A,10000,997,1648
Fluent_v4,Fluent_v4_F5A,12500,1081,1839
Fluent_v4,Fluent_v4_F5A,15000,1145,1995
Fluent_v4,Fluent_v4_F5A,17500,,
Fluent_v4,Fluent_v4_F5A,20000,1239,2231
Fluent_v4,Fluent_v4_F5A,22500,1274,2326
Fluent_v4,Fluent_v4_F5A,25000,1304,2409
Fluent_v4,Fluent_v4_F5B,1000,233,281
Fluent_v4,Fluent_v4_F5B,2500,439,598
Fluent_v4,Fluent_v4_F5B,5000,639,963
Fluent_v4,Fluent_v4_F5B,7500,758,1211
Fluent_v4,Fluent_v4_F5B,10000,837,1390
Fluent_v4,Fluent_v4_F5B,12500,894,1525
Fluent_v4,Fluent_v4_F5B,15000,937,1631
Fluent_v4,Fluent_v4_F5B,17500,970,1716
Fluent_v4,Fluent_v4_F5B,20000,998,1788
Fluent_v4,Fluent_v4_F5B,22500,1020,1850
Fluent_v4,Fluent_v4_F5B,25000,1039,1902
Fluent_V,Fluent_V_F1A,1000,275,426
Fluent_V,Fluent_V_F1A,2500,499,945
Fluent_V,Fluent_V_F1A,5000,740,1608
Fluent_V,Fluent_V_F1A,7500,901,2013
Fluent_V,Fluent_V_F1A,10000,1019,2365
Fluent_V,Fluent_V_F1A,12500,1109,2648
Fluent_V,Fluent_V_F1A,15000,1180,2881
Fluent_V,Fluent_V_F1A,17500,1238,3077
Fluent_V,Fluent_V_F1A,20000,1287,3244
Fluent_V,Fluent_V_F1A,22500,1326,3268
Fluent_V,Fluent_V_F1A,25000,1360,3381
Fluent_V,Fluent_V_F1B,1000,282,439
Fluent_V,Fluent_V_F1B,2500,510,969
Fluent_V,Fluent_V_F1B,5000,753,1585
Fluent_V,Fluent_V_F1B,7500,915,2043
Fluent_V,Fluent_V_F1B,10000,1031,2395
Fluent_V,Fluent_V_F1B,12500,1119,2674
Fluent_V,Fluent_V_F1B,15000,1188,2903
Fluent_V,Fluent_V_F1B,17500,1245,2992
Fluent_V,Fluent_V_F1B,20000,1291,3141
Fluent_V,Fluent_V_F1B,22500,1331,3269
Fluent_V,Fluent_V_F1B,25000,1364,3381
Fluent_V,Fluent_V_F5A,1000,320,533
Fluent_V,Fluent_V_F5A,2500,566,1151
Fluent_V,Fluent_V_F5A,5000,820,1822
Fluent_V,Fluent_V_F5A,7500,978,2309
Fluent_V,Fluent_V_F5A,10000,1089,2673
Fluent_V,Fluent_V_F5A,12500,1170,2858
Fluent_V,Fluent_V_F5A,15000,1233,3062
Fluent_V,Fluent_V_F5A,17500,1282,3231
Fluent_V,Fluent_V_F5A,20000,1323,3373
Fluent_V,Fluent_V_F5A,22500,1356,3494
Fluent_V,Fluent_V_F5A,25000,1384,3598
Fluent_V,Fluent_V_F5B,1000,326,523
Fluent_V,Fluent_V_F5B,2500,590,1151
Fluent_V,Fluent_V_F5B,5000,873,1869
Fluent_V,Fluent_V_F5B,7500,1057,2403
Fluent_V,Fluent_V_F5B,10000,1189,2810
Fluent_V,Fluent_V_F5B,12500,1288,3138
Fluent_V,Fluent_V_F5B,15000,1367,3408
Fluent_V,Fluent_V_F5B,17500,1430,3496
Fluent_V,Fluent_V_F5B,20000,1482,3670
Fluent_V,Fluent_V_F5B,22500,1525,3817
Fluent_V,Fluent_V_F5B,25000,1561,3943
NextGEM3P,NextGEM3P_F1A,1000,378,596
NextGEM3P,NextGEM3P_F1A,2500,731,1380
NextGEM3P,NextGEM3P_F1A,5000,1115,2401
NextGEM3P,NextGEM3P_F1A,7500,1387,3215
NextGEM3P,NextGEM3P_F1A,10000,1592,3870
NextGEM3P,NextGEM3P_F1A,12500,1748,4411
NextGEM3P,NextGEM3P_F1A,15000,1872,4857
NextGEM3P,NextGEM3P_F1A,17500,1973,5233
NextGEM3P,NextGEM3P_F1A,20000,2057,5550
NextGEM3P,NextGEM3P_F1A,22500,2128,5822
NextGEM3P,NextGEM3P_F1A,25000,2188,6055
NextGEM3P,NextGEM3P_F1B,1000,366,590
NextGEM3P,NextGEM3P_F1B,2500,701,1352
NextGEM3P,NextGEM3P_F1B,5000,1061,2319
NextGEM3P,NextGEM3P_F1B,7500,1312,3071
NextGEM3P,NextGEM3P_F1B,10000,1496,3661
NextGEM3P,NextGEM3P_F1B,12500,1638,4133
NextGEM3P,NextGEM3P_F1B,15000,1748,4516
NextGEM3P,NextGEM3P_F1B,17500,1837,4839
NextGEM3P,NextGEM3P_F1B,20000,1910,5106
NextGEM3P,NextGEM3P_F1B,22500,1970,5331
NextGEM3P,NextGEM3P_F1B,25000,,
NextGEM3P,NextGEM3P_F5A,1000,372,589
NextGEM3P,NextGEM3P_F5A,2500,720,1363
NextGEM3P,NextGEM3P_F5A,5000,1090,2342
NextGEM3P,NextGEM3P_F5A,7500,1354,3119
NextGEM3P,NextGEM3P_F5A,10000,1550,3742
NextGEM3P,NextGEM3P_F5A,12500,1701,4249
NextGEM3P,NextGEM3P_F5A,15000,1820,4666
NextGEM3P,NextGEM3P_F5A,17500,1916,5013
NextGEM3P,NextGEM3P_F5A,20000,1994,5301
NextGEM3P,NextGEM3P_F5A,22500,2059,5546
NextGEM3P,NextGEM3P_F5A,25000,2115,5758
NextGEM3P,NextGEM3P_F5B,1000,375,578
NextGEM3P,NextGEM3P_F5B,2500,724,1328
NextGEM3P,NextGEM3P_F5B,5000,1093,2272
NextGEM3P,NextGEM3P_F5B,7500,1354,3013
NextGEM3P,NextGEM3P_F5B,10000,1547,3608
NextGEM3P,NextGEM3P_F5B,12500,1693,4085
NextGEM3P,NextGEM3P_F5B,15000,1810,4479
NextGEM3P,NextGEM3P_F5B,17500,1902,4803
NextGEM3P,NextGEM3P_F5B,20000,1977,5076
NextGEM3P,NextGEM3P_F5B,22500,2040,5311
NextGEM3P,NextGEM3P_F5B,25000,2094,5513
GEMX3P,GEMX3P_F1A,1000,399,563
GEMX3P,GEMX3P_F1A,2500,801,1348
GEMX3P,GEMX3P_F1A,5000,1272,2490
GEMX3P,GEMX3P_F1A,7500,1616,3480
GEMX3P,GEMX3P_F1A,10000,1887,4352
GEMX3P,GEMX3P_F1A,12500,2106,5128
GEMX3P,GEMX3P_F1A,15000,2290,5824
GEMX3P,GEMX3P_F1A,17500,2443,6449
GEMX3P,GEMX3P_F1A,20000,2574,7007
GEMX3P,GEMX3P_F1A,22500,2686,7514
GEMX3P,GEMX3P_F1A,25000,2785,7975
GEMX3P,GEMX3P_F1B,1000,380,532
GEMX3P,GEMX3P_F1B,2500,765,1272
GEMX3P,GEMX3P_F1B,5000,1223,2360
GEMX3P,GEMX3P_F1B,7500,1559,3302
GEMX3P,GEMX3P_F1B,10000,1824,4135
GEMX3P,GEMX3P_F1B,12500,2039,4876
GEMX3P,GEMX3P_F1B,15000,2216,5539
GEMX3P,GEMX3P_F1B,17500,2366,6130
GEMX3P,GEMX3P_F1B,20000,2495,6663
GEMX3P,GEMX3P_F1B,22500,2606,7145
GEMX3P,GEMX3P_F1B,25000,2703,7584
GEMX3P,GEMX3P_F5A,1000,381,531
GEMX3P,GEMX3P_F5A,2500,771,1277
GEMX3P,GEMX3P_F5A,5000,1235,2374
GEMX3P,GEMX3P_F5A,7500,1582,3338
GEMX3P,GEMX3P_F5A,10000,1857,4200
GEMX3P,GEMX3P_F5A,12500,2080,4970
GEMX3P,GEMX3P_F5A,15000,2267,5664
GEMX3P,GEMX3P_F5A,17500,2426,6292
GEMX3P,GEMX3P_F5A,20000,2560,6859
GEMX3P,GEMX3P_F5A,22500,2678,7376
GEMX3P,GEMX3P_F5A,25000,2782,7851
GEMX3P,GEMX3P_F5B,1000,378,522
GEMX3P,GEMX3P_F5B,2500,766,1255
GEMX3P,GEMX3P_F5B,5000,1229,2330
GEMX3P,GEMX3P_F5B,7500,1573,3275
GEMX3P,GEMX3P_F5B,10000,1844,4111
GEMX3P,GEMX3P_F5B,12500,2066,4862
GEMX3P,GEMX3P_F5B,15000,2252,5533
GEMX3P,GEMX3P_F5B,17500,2409,6144
GEMX3P,GEMX3P_F5B,20000,2543,6695
GEMX3P,GEMX3P_F5B,22500,2660,7196
GEMX3P,GEMX3P_F5B,25000,2762,7658
Scale,Scale_F5A,1000,499,569
Scale,Scale_F5A,2500,962,1269
Scale,Scale_F5A,5000,1417,2141
Scale,Scale_F5A,7500,1694,2770
Scale,Scale_F5A,10000,1880,3237
Scale,Scale_F5A,12500,2014,3594
Scale,Scale_F5A,15000,2116,3877
Scale,Scale_F5A,17500,2196,4102
Scale,Scale_F5A,20000,2261,4287
Scale,Scale_F5A,22500,2314,4444
Scale,Scale_F5A,25000,2359,4576
Scale,Scale_F1B,1000,454,513
Scale,Scale_F1B,2500,862,1106
Scale,Scale_F1B,5000,1247,1783
Scale,Scale_F1B,7500,1469,2226
Scale,Scale_F1B,10000,1613,2539
Scale,Scale_F1B,12500,1716,2769
Scale,Scale_F1B,15000,1792,2945
Scale,Scale_F1B,17500,1851,3083
Scale,Scale_F1B,20000,1898,3196
Scale,Scale_F1B,22500,1938,3288
Scale,Scale_F1B,25000,1971,3362
Scale,Scale_F1A,1000,369,402
Scale,Scale_F1A,2500,725,884
Scale,Scale_F1A,5000,1110,1511
Scale,Scale_F1A,7500,1353,1968
Scale,Scale_F1A,10000,1525,2321
Scale,Scale_F1A,12500,1648,2589
Scale,Scale_F1A,15000,1744,2806
Scale,Scale_F1A,17500,1822,2986
Scale,Scale_F1A,20000,1884,3135
Scale,Scale_F1A,22500,1936,3259
Scale,Scale_F1A,25000,1979,3364
Scale,Scale_F5B,1000,469,529
Scale,Scale_F5B,2500,896,1156
Scale,Scale_F5B,5000,1306,1895
Scale,Scale_F5B,7500,1547,2398
Scale,Scale_F5B,10000,1706,2578
Scale,Scale_F5B,12500,1818,3028
Scale,Scale_F5B,15000,1903,3238
Scale,Scale_F5B,17500,1968,3404
Scale,Scale_F5B,20000,2021,3540
Scale,Scale_F5B,22500,2065,3653
Scale,Scale_F5B,25000,2103,3748
Parse_v3,Parse_v3_F1A,1000,215,250
Parse_v3,Parse_v3_F1A,2000,391,482
Parse_v3,Parse_v3_F1A,3000,536.5,695
Parse_v3,Parse_v3_F1A,4000,664,895.5
Parse_v3,Parse_v3_F1A,5000,773,1088
Parse_v3,Parse_v3_F1A,6000,873,1260
Parse_v3,Parse_v3_F1A,8000,1039,1577.5
Parse_v3,Parse_v3_F1A,10000,1172,1866
Parse_v3,Parse_v3_F1A,12000,1288,2127
Parse_v3,Parse_v3_F1A,14000,1389,2354
Parse_v3,Parse_v3_F1A,16000,1470.5,2557.5
Parse_v3,Parse_v3_F1A,20000,1611,2928.5
Parse_v3,Parse_v3_F1A,24000,1722,3239.5
Parse_v3,Parse_v3_F1A,26681.3123,1784,3422
Parse_v3,Parse_v3_F1B,1000,216,250
Parse_v3,Parse_v3_F1B,2000,390.5,481
Parse_v3,Parse_v3_F1B,3000,533,695
Parse_v3,Parse_v3_F1B,4000,658.5,884
Parse_v3,Parse_v3_F1B,5000,768.5,1070
Parse_v3,Parse_v3_F1B,6000,866,1246
Parse_v3,Parse_v3_F1B,8000,1023,1543
Parse_v3,Parse_v3_F1B,10000,1156,1822.5
Parse_v3,Parse_v3_F1B,12000,1269.5,2065.5
Parse_v3,Parse_v3_F1B,14000,1364,2279
Parse_v3,Parse_v3_F1B,16000,1442,2482.5
Parse_v3,Parse_v3_F1B,20000,1571.5,2814
Parse_v3,Parse_v3_F1B,24005.3834,1676,3094.5
Parse_v3,Parse_v3_F5A,1000,248,295
Parse_v3,Parse_v3_F5A,2000,446,569
Parse_v3,Parse_v3_F5A,3000,609,814
Parse_v3,Parse_v3_F5A,4000,745,1044
Parse_v3,Parse_v3_F5A,5000,862,1257
Parse_v3,Parse_v3_F5A,6000,964,1457
Parse_v3,Parse_v3_F5A,8000,1133,1800
Parse_v3,Parse_v3_F5A,10000,1273,2109
Parse_v3,Parse_v3_F5A,12000,1387,2381
Parse_v3,Parse_v3_F5A,14000,1482,2618
Parse_v3,Parse_v3_F5A,16000,1562,2839
Parse_v3,Parse_v3_F5A,20000,1696,3208
Parse_v3,Parse_v3_F5A,22008.3883,1751,3367
Parse_v3,Parse_v3_F5B,1000,226,263
Parse_v3,Parse_v3_F5B,2000,407,511
Parse_v3,Parse_v3_F5B,3000,560,740
Parse_v3,Parse_v3_F5B,4000,693.5,956.5
Parse_v3,Parse_v3_F5B,5000,808,1151
Parse_v3,Parse_v3_F5B,6000,908.5,1338
Parse_v3,Parse_v3_F5B,8000,1084,1685.5
Parse_v3,Parse_v3_F5B,10000,1225,1990.5
Parse_v3,Parse_v3_F5B,12000,1342,2267.5
Parse_v3,Parse_v3_F5B,14000,1444,2513.5
Parse_v3,Parse_v3_F5B,16000,1530.5,2737
Parse_v3,Parse_v3_F5B,20000,1675,3131
Parse_v3,Parse_v3_F5B,24000,1789,3474
Parse_v3,Parse_v3_F5B,27408.8548,1870.5,3716.5
Flex,Flex_F1A,100,69,
Flex,Flex_F1A,250,164,
Flex,Flex_F1A,500,306,
Flex,Flex_F1A,1000,547,
Flex,Flex_F1A,2099,943,
Flex,Flex_F1A,2500,1058,
Flex,Flex_F1A,3000,1183,
Flex,Flex_F1A,4199,1428.5,
Flex,Flex_F1A,5000,1556,
Flex,Flex_F1A,6299,1721.5,
Flex,Flex_F1A,8398,1918.5,
Flex,Flex_F1A,10000,2030,
Flex,Flex_F1A,10498,2059,
Flex,Flex_F1A,12598,2161,
Flex,Flex_F1A,14698,2239,
Flex,Flex_F1A,15000,2249.5,
Flex,Flex_F1A,16797,2302,
Flex,Flex_F1A,18897,2352,
Flex,Flex_F1A,20000,2374,
Flex,Flex_F1A,20997,2392,
Flex,Flex_F1B,100,67,
Flex,Flex_F1B,250,159,
Flex,Flex_F1B,500,297.5,
Flex,Flex_F1B,1000,534,
Flex,Flex_F1B,2199,957,
Flex,Flex_F1B,2500,1042,
Flex,Flex_F1B,3000,1167.5,
Flex,Flex_F1B,4399,1447,
Flex,Flex_F1B,5000,1541,
Flex,Flex_F1B,6598,1745,
Flex,Flex_F1B,8798,1946,
Flex,Flex_F1B,10000,2028,
Flex,Flex_F1B,10997,2085,
Flex,Flex_F1B,13197,2189,
Flex,Flex_F1B,15000,2254,
Flex,Flex_F1B,15396,2267,
Flex,Flex_F1B,17596,2328,
Flex,Flex_F1B,19796,2376,
Flex,Flex_F1B,20000,2380,
Flex,Flex_F1B,21995,2417,
Flex,Flex_F5A,100,68,
Flex,Flex_F5A,250,161,
Flex,Flex_F5A,500,301,
Flex,Flex_F5A,1000,543,
Flex,Flex_F5A,2294,1006,
Flex,Flex_F5A,2500,1065,
Flex,Flex_F5A,3000,1195,
Flex,Flex_F5A,4589,1515,
Flex,Flex_F5A,5000,1581,
Flex,Flex_F5A,6883,1825,
Flex,Flex_F5A,9178,2031,
Flex,Flex_F5A,10000,2086,
Flex,Flex_F5A,11472,2174,
Flex,Flex_F5A,13767,2282,
Flex,Flex_F5A,15000,2329,
Flex,Flex_F5A,16061,2363,
Flex,Flex_F5A,18356,2427,
Flex,Flex_F5A,20000,2465,
Flex,Flex_F5A,20651,2478,
Flex,Flex_F5A,22945,2518,
Flex,Flex_F5B,100,68,
Flex,Flex_F5B,250,161,
Flex,Flex_F5B,500,302,
Flex,Flex_F5B,1000,542,
Flex,Flex_F5B,2256,993,
Flex,Flex_F5B,2500,1064,
Flex,Flex_F5B,3000,1192,
Flex,Flex_F5B,4513,1499,
