Sample	reads_in_fastqs	reads_in_matrix	reads_mapped_transcriptome
Flex_F1A	227465450	202213449	214887569
Flex_F1B	260339619	231565643	245010845
Flex_F5A	257822201	229202214	243039481
Flex_F5B	229428710	204127352	216791762
NextGEM3P_F1A	411350000	280130449	296901946
NextGEM3P_F1B	412625000	280127535	298239275
NextGEM3P_F5A	328950000	227140309	241558499
NextGEM3P_F5B	336875000	228620333	243014334
GEMX3P_F1A	945800000	580246320	625350153
GEMX3P_F1B	968075000	574966329	619234218
GEMX3P_F5A	823200000	490111595	532344184
GEMX3P_F5B	786625000	462220510	502326136
Parse_v3_F1A	698267633	223335658	250292852
Parse_v3_F1B	457084780	148676240	170951205
Parse_v3_F5A	566354231	207437997	231534055
Parse_v3_F5B	553218356	188318279	211916918
Scale_F5A	832638582	521271059	555380431
Scale_F1B	745904763	429720298	467668407
Scale_F1A	397218677	198386723	238945005
Scale_F5B	991075196	586588308	631310667
Fluent_v4_F1A	449738139	170103193	358109116
Fluent_v4_F1B	415600000	145370132	322187375
Fluent_v4_F5A	419575000	160441625	318545160
Fluent_v4_F5B	380850000	141757999	291851950
Fluent_V_F1A	466400000	239827286	311373347
Fluent_V_F1B	440400000	243005370	314022348
Fluent_V_F5A	450775000	297990311	362784316
Fluent_V_F5B	475175000	292155241	353598966
