Sample	reads_in_fastqs	reads_in_matrix	reads_mapped_transcriptome
Flex_F1A	210476984	194501276	202394668
Flex_F1B	240895916	223677399	231790050
Flex_F5A	238566513	220940556	229453272
Flex_F5B	212293616	196363664	204311376
NextGEM3P_F1A	411350000	284743052	302918140
NextGEM3P_F1B	412625000	286246215	304517250
NextGEM3P_F5A	328950000	231600537	246383550
NextGEM3P_F5B	336875000	233190265	248074750
GEMX3P_F1A	945800000	597684123	642671100
GEMX3P_F1B	968075000	591503506	636025275
GEMX3P_F5A	823200000	502952150	546687120
GEMX3P_F5B	786625000	474888659	516183325
Parse_v3_F1A	698267633	223335658	250292852
Parse_v3_F1B	457084780	148676240	170951205
Parse_v3_F5A	566354231	207437997	231534055
Parse_v3_F5B	553218356	188318279	211916918
Scale_F5A	832638582	521271059	555380431
Scale_F1B	745904763	429720298	467668407
Scale_F1A	397218677	198386723	238945005
Scale_F5B	991075196	586588308	631310667
Fluent_v4_F1A	449738139	170103193	358109116
Fluent_v4_F1B	415600000	145370132	322187375
Fluent_v4_F5A	419575000	160441625	318545160
Fluent_v4_F5B	380850000	141757999	291851950
Fluent_V_F1A	466400000	239827286	311373347
Fluent_V_F1B	440400000	243005370	314022348
Fluent_V_F5A	450775000	297990311	362784316
Fluent_V_F5B	475175000	292155241	353598966
