Sample,cells_loaded,target_cells,target_cells_fraction,cells_recovered,high_quality_singlets,productive_tcells_recovered
GEMX5P_F1,30408,20000,.69,18103,15358,12313		
GEMX5P_F2,30015,20000,.69,22708,19672,18251
GEMX5P_F4,29213,20000,.69,21211,17913,14565
GEMX5P_F5,28917,20000,.69,19601,17085,14258
NextGEM5P_F1,17304,10000,.60,7098,6237,4548
NextGEM5P_F2,17110,10000,.60,9723,8253,6981
Parse_v2_F1,89040,25000,.25,23921,22222,6672	
Parse_v2_F2,98616,25000,.25,23022,21647,8837
Parse_v2_F4,92736,25000,.25,22285,21269,7972
Parse_v2_F5,91056,25000,.25,22072,20995,7734
