Kit,Sample,nreads,median_genes,median_umi
GEMX5P,GEMX5P_F5,0,0,
GEMX5P,GEMX5P_F5,3000,791,
GEMX5P,GEMX5P_F5,5000,1110,
GEMX5P,GEMX5P_F5,5800,1219,
GEMX5P,GEMX5P_F5,10000,1668,
GEMX5P,GEMX5P_F5,11601,1800,
GEMX5P,GEMX5P_F5,17402,2171,
GEMX5P,GEMX5P_F5,20000,2297,
GEMX5P,GEMX5P_F5,23203,2426.5,
GEMX5P,GEMX5P_F5,29004,2613,
GEMX5P,GEMX5P_F5,30000,2640,
GEMX5P,GEMX5P_F5,34804,2754,
GEMX5P,GEMX5P_F5,40605,2863,
GEMX5P,GEMX5P_F5,46406,2951,
GEMX5P,GEMX5P_F5,50000,2996,
GEMX5P,GEMX5P_F5,52207,3020,
GEMX5P,GEMX5P_F5,58008,3077,
GEMX5P,GEMX5P_F4,0,0,
GEMX5P,GEMX5P_F4,3000,805,
GEMX5P,GEMX5P_F4,5000,1130,
GEMX5P,GEMX5P_F4,5656,1221,
GEMX5P,GEMX5P_F4,10000,1694,
GEMX5P,GEMX5P_F4,11312,1805,
GEMX5P,GEMX5P_F4,16969,2175,
GEMX5P,GEMX5P_F4,20000,2323,
GEMX5P,GEMX5P_F4,22625,2431,
GEMX5P,GEMX5P_F4,28281,2617,
GEMX5P,GEMX5P_F4,30000,2664,
GEMX5P,GEMX5P_F4,33938,2756,
GEMX5P,GEMX5P_F4,39594,2863,
GEMX5P,GEMX5P_F4,45250,2949,
GEMX5P,GEMX5P_F4,50000,3009,
GEMX5P,GEMX5P_F4,50907,3019,
GEMX5P,GEMX5P_F4,56563,3077,
GEMX5P,GEMX5P_F2,0,0,
GEMX5P,GEMX5P_F2,3000,808,
GEMX5P,GEMX5P_F2,4760,1091,
GEMX5P,GEMX5P_F2,5000,1125,
GEMX5P,GEMX5P_F2,9521,1625,
GEMX5P,GEMX5P_F2,10000,1668,
GEMX5P,GEMX5P_F2,14282,1971,
GEMX5P,GEMX5P_F2,19043,2217,
GEMX5P,GEMX5P_F2,20000,2258,
GEMX5P,GEMX5P_F2,23804,2397,
GEMX5P,GEMX5P_F2,28564,2536,
GEMX5P,GEMX5P_F2,30000,2571,
GEMX5P,GEMX5P_F2,33325,2644,
GEMX5P,GEMX5P_F2,38086,2730,
GEMX5P,GEMX5P_F2,42847,2802,
GEMX5P,GEMX5P_F2,47608,2861,
GEMX5P,GEMX5P_F1,0,0,
GEMX5P,GEMX5P_F1,3000,830,
GEMX5P,GEMX5P_F1,5000,1156,
GEMX5P,GEMX5P_F1,6259,1323,
GEMX5P,GEMX5P_F1,10000,1708,
GEMX5P,GEMX5P_F1,12518,1899,
GEMX5P,GEMX5P_F1,18777,2247,
GEMX5P,GEMX5P_F1,20000,2298,
GEMX5P,GEMX5P_F1,25037,2475,
GEMX5P,GEMX5P_F1,30000,2605,
GEMX5P,GEMX5P_F1,31296,2636,
GEMX5P,GEMX5P_F1,37555,2753,
GEMX5P,GEMX5P_F1,43814,2841,
GEMX5P,GEMX5P_F1,50000,2910,
GEMX5P,GEMX5P_F1,50074,2911,
GEMX5P,GEMX5P_F1,56333,2965,
GEMX5P,GEMX5P_F1,62592,3010,
NextGEM5P,NextGEM5P_F2,0,0,
NextGEM5P,NextGEM5P_F2,3000,730,
NextGEM5P,NextGEM5P_F2,5000,981,
NextGEM5P,NextGEM5P_F2,7693,1219,
NextGEM5P,NextGEM5P_F2,10000,1365,
NextGEM5P,NextGEM5P_F2,15387,1589,
NextGEM5P,NextGEM5P_F2,20000,1706,
NextGEM5P,NextGEM5P_F2,23080,1764,
NextGEM5P,NextGEM5P_F2,30000,1852,
NextGEM5P,NextGEM5P_F2,30774,1860,
NextGEM5P,NextGEM5P_F2,38467,1920,
NextGEM5P,NextGEM5P_F2,46161,1960,
NextGEM5P,NextGEM5P_F2,50000,1975,
NextGEM5P,NextGEM5P_F2,53855,1989,
NextGEM5P,NextGEM5P_F2,61548,2011,
NextGEM5P,NextGEM5P_F2,69242,2030,
NextGEM5P,NextGEM5P_F2,76935,2045,
NextGEM5P,NextGEM5P_F1,0,0,
NextGEM5P,NextGEM5P_F1,3000,786,
NextGEM5P,NextGEM5P_F1,5000,1046,
NextGEM5P,NextGEM5P_F1,10000,1422,
NextGEM5P,NextGEM5P_F1,10589,1451,
NextGEM5P,NextGEM5P_F1,20000,1732,
NextGEM5P,NextGEM5P_F1,21179,1752,
NextGEM5P,NextGEM5P_F1,30000,1857,
NextGEM5P,NextGEM5P_F1,31769,1871,
NextGEM5P,NextGEM5P_F1,42358,1932.5,
NextGEM5P,NextGEM5P_F1,50000,1963,
NextGEM5P,NextGEM5P_F1,52948,1974,
NextGEM5P,NextGEM5P_F1,63538,1999,
NextGEM5P,NextGEM5P_F1,74127,2019,
NextGEM5P,NextGEM5P_F1,84717,2035,
NextGEM5P,NextGEM5P_F1,95307,2047,
NextGEM5P,NextGEM5P_F1,105896,2058,
Parse_v2,Parse_v2_F1,0,0,
Parse_v2,Parse_v2_F1,1000,344.3125,
Parse_v2,Parse_v2_F1,2000,593.5625,
Parse_v2,Parse_v2_F1,3000,787.5,
Parse_v2,Parse_v2_F1,4000,944.875,
Parse_v2,Parse_v2_F1,5000,1075.5,
Parse_v2,Parse_v2_F1,6000,1185.1875,
Parse_v2,Parse_v2_F1,8000,1363.0625,
Parse_v2,Parse_v2_F1,10000,1499.375,
Parse_v2,Parse_v2_F1,12000,1606.25,
Parse_v2,Parse_v2_F1,14000,1694.75,
Parse_v2,Parse_v2_F1,16000,1767.5,
Parse_v2,Parse_v2_F1,20000,1882.4375,
Parse_v2,Parse_v2_F1,23110.7519,1944,
Parse_v2,Parse_v2_F1,23877.3668,1969,
Parse_v2,Parse_v2_F1,25789.5481,2015,
Parse_v2,Parse_v2_F1,28000,2058,
Parse_v2,Parse_v2_F1,29471.5809,2080,
Parse_v2,Parse_v2_F2,0,0,
Parse_v2,Parse_v2_F2,1000,343.875,
Parse_v2,Parse_v2_F2,2000,594.25,
Parse_v2,Parse_v2_F2,3000,790.8125,
Parse_v2,Parse_v2_F2,4000,950.1875,
Parse_v2,Parse_v2_F2,5000,1082.125,
Parse_v2,Parse_v2_F2,6000,1195.0625,
Parse_v2,Parse_v2_F2,8000,1376.1875,
Parse_v2,Parse_v2_F2,10000,1515.8125,
Parse_v2,Parse_v2_F2,12000,1627.3125,
Parse_v2,Parse_v2_F2,14000,1719.125,
Parse_v2,Parse_v2_F2,16000,1794.1875,
Parse_v2,Parse_v2_F2,20000,1914.3125,
