Kit	sample	cells_loaded	cells_recovered	after_qc_filtering	after_doublet_filtering
Flex	F1A	16871	10024	9811	8910
Flex	F1B	16871	10952	10710	9483
Flex	F5A	16871	10397	10138	9028
Flex	F5B	16871	9408	9192	8318
NextGEM3P	F1A	26077	16338	15216	13577
NextGEM3P	F1B	26077	16403	15110	13446
NextGEM3P	F5A	21202	13078	12168	10777
NextGEM3P	F5B	21202	13413	12535	11133
GEMX3P	F1A	45885	37147	35680	31226
GEMX3P	F1B	45885	38360	36956	32008
GEMX3P	F5A	37265	32383	31349	27880
GEMX3P	F5B	37265	31155	30188	26800
Fluent_v4	F1A	41440	18953	18908	17523
Fluent_v4	F1B	40000	16574	16526	15232
Fluent_v4	F5A	40000	16646	16552	14955
Fluent_v4	F5B	40000	15151	14200	13033
Fluent_V	F1A	40216	18709	18438	17753
Fluent_V	F1B	40216	17607	17232	16553
Fluent_V	F5A	39744	18010	17214	16539
Fluent_V	F5B	39744	18997	18640	18054
Parse_v3	F1A	81648	26679	26352	22912
Parse_v3	F1B	100128	18961	18641	16409
Parse_v3	F5A	98280	25214	24965	22230
Parse_v3	F5B	92904	20142	19920	17730
Scale	F1A	125000	15782	15736	12991
Scale	F1B	125000	30025	29841	27994
Scale	F5A	125000	33298	33287	31497
Scale	F5B	125000	39642	39634	37144
