Kit	Individual	mean	conf_low	conf_high	ci
Flex	F1	0.0725694161653519	0.0609029138696526	0.0842359184610511	0.0116665022956993
Flex	F5	0.0581176809221506	0.0489789357918676	0.0672564260524336	0.00913874513028304
NextGEM3P	F1	0.281165988445282	0.200991730032286	0.361340246858278	0.0801742584129957
NextGEM3P	F5	0.139442553371191	0.109856592334026	0.169028514408356	0.0295859610371654
GEMX3P	F1	0.209413380622864	0.176467715970067	0.24235904527566	0.0329456646527964
GEMX3P	F5	0.120304439365864	0.0937929248970329	0.146815953834695	0.0265115144688309
Fluent_v4	F1	0.339105974137783	0.244477010961945	0.433734937313621	0.0946289631758379
Fluent_v4	F5	1.3840916633606	1.17923486513049	1.5889484615907	0.204856798230103
Fluent_V	F1	0.169194366484881	0.13466975730308	0.203718975666681	0.0345246091818002
Fluent_V	F5	0.352431302070618	0.295247834804748	0.409614769336487	0.0571834672658697
Parse_v3	F1	0.289978412687779	0.236852594277625	0.343104231097932	0.0531258184101534
Parse_v3	F5	0.168818171545863	0.124940912805946	0.21269543028578	0.0438772587399169
Scale	F1	0.522735075950623	0.427287008382582	0.618183143518663	0.0954480675680403
Scale	F5	0.285460663735867	0.246629469982835	0.324291857488899	0.038831193753032
