Kit	sample	not shared	other	mitochondrial	ribosomal	lncRNA	unidentified	identified_protein_coding
Flex	F1A	1.9828	0.53726	0.50696	NA	0.00673	1.33819	95.62806
Flex	F1B	1.99085	0.54155	0.53118	NA	0.00657	1.33551	95.59434
Flex	F5A	1.91467	0.56575	0.51115	NA	0.00639	1.32807	95.67398
Flex	F5B	1.91358	0.55828	0.48107	NA	0.00669	1.33044	95.70995
NextGEM3P	F1A	4.41655	0.45505	1.41266	8.6678	2.46279	1.03051	81.55465
NextGEM3P	F1B	4.3989	0.45824	1.46445	8.954	2.47302	1.0389	81.21249
NextGEM3P	F5A	4.36292	0.46696	1.43843	8.71926	2.40891	1.04089	81.56263
NextGEM3P	F5B	4.42499	0.46871	1.42729	8.60871	2.41461	1.03114	81.62454
GEMX3P	F1A	3.45211	0.46847	1.12015	7.19908	1.99988	1.04026	84.72005
GEMX3P	F1B	3.42232	0.46832	1.13201	7.30256	1.98492	1.04201	84.64787
GEMX3P	F5A	3.42841	0.48774	1.11315	7.19702	1.96572	1.04371	84.76426
GEMX3P	F5B	3.42106	0.48697	1.10771	7.17152	1.96279	1.04236	84.80758
Fluent_v4	F1A	4.55541	0.50659	1.45603	9.59292	2.70385	1.08226	80.10293
Fluent_v4	F1B	4.59738	0.50063	1.43819	9.26367	2.68181	1.07836	80.43997
Fluent_v4	F5A	4.61694	0.5001	1.47195	8.96865	2.66165	1.08041	80.70032
Fluent_v4	F5B	4.5755	0.53368	1.57733	10.31521	2.69113	1.09068	79.21646
Fluent_V	F1A	4.87821	0.55965	1.71413	10.8489	2.7315	1.19232	78.07529
Fluent_V	F1B	4.75202	0.56446	1.7045	10.99738	2.71941	1.1911	78.07114
Fluent_V	F5A	4.5323	0.60754	1.71018	11.51357	2.70087	1.18174	77.7538
Fluent_V	F5B	4.70794	0.56842	1.60373	10.04915	2.65744	1.17444	79.23887
Parse_v3	F1A	4.67408	0.38294	0.24536	0.90578	2.22491	0.81488	90.75205
Parse_v3	F1B	4.63392	0.38405	0.24544	0.89739	2.21754	0.8123	90.80937
Parse_v3	F5A	4.83937	0.40907	0.26278	0.84919	2.21421	0.81593	90.60944
Parse_v3	F5B	4.8876	0.40685	0.24594	0.88278	2.23665	0.81679	90.5234
Scale	F1A	7.23431	0.40501	0.22351	1.33232	2.83041	0.84561	87.1288
Scale	F1B	7.19528	0.41189	0.29746	1.53726	2.78892	0.86258	86.90661
Scale	F5A	6.63614	0.42233	0.29622	1.00869	2.69203	0.87156	88.07304
Scale	F5B	7.14688	0.42872	0.26635	1.17329	2.81334	0.85848	87.31294
