Kit	sample	other	mitochondrial	ribosomal	lncRNA	unidentified	identified_protein_coding
Flex	F1A	0.54	0.51	NA	0.01	1.34	95.63
Flex	F1B	0.54	0.53	NA	0.01	1.34	95.59
Flex	F5A	0.57	0.51	NA	0.01	1.33	95.67
Flex	F5B	0.56	0.48	NA	0.01	1.33	95.71
NextGEM3P	F1A	0.46	1.41	8.67	2.46	1.03	81.55
NextGEM3P	F1B	0.46	1.46	8.95	2.47	1.04	81.21
NextGEM3P	F5A	0.47	1.44	8.72	2.41	1.04	81.56
NextGEM3P	F5B	0.47	1.43	8.61	2.41	1.03	81.62
GEMX3P	F1A	0.47	1.12	7.2	2	1.04	84.72
GEMX3P	F1B	0.47	1.13	7.3	1.98	1.04	84.65
GEMX3P	F5A	0.49	1.11	7.2	1.97	1.04	84.76
GEMX3P	F5B	0.49	1.11	7.17	1.96	1.04	84.81
Fluent_v4	F1A	0.51	1.46	9.59	2.7	1.08	80.1
Fluent_v4	F1B	0.5	1.44	9.26	2.68	1.08	80.44
Fluent_v4	F5A	0.5	1.47	8.97	2.66	1.08	80.7
Fluent_v4	F5B	0.53	1.58	10.32	2.69	1.09	79.22
Fluent_V	F1A	0.56	1.71	10.85	2.73	1.19	78.08
Fluent_V	F1B	0.56	1.7	11	2.72	1.19	78.07
Fluent_V	F5A	0.61	1.71	11.51	2.7	1.18	77.75
Fluent_V	F5B	0.57	1.6	10.05	2.66	1.17	79.24
Parse_v3	F1A	0.38	0.25	0.91	2.22	0.81	90.75
Parse_v3	F1B	0.38	0.25	0.9	2.22	0.81	90.81
Parse_v3	F5A	0.41	0.26	0.85	2.21	0.82	90.61
Parse_v3	F5B	0.41	0.25	0.88	2.24	0.82	90.52
Scale	F1A	0.41	0.22	1.33	2.83	0.85	87.13
Scale	F1B	0.41	0.3	1.54	2.79	0.86	86.91
Scale	F5A	0.42	0.3	1.01	2.69	0.87	88.07
Scale	F5B	0.43	0.27	1.17	2.81	0.86	87.31
