Kit	sample	other	mitochondrial	ribosomal	lncRNA	unidentified	identified_protein_coding
Flex	F1A	1.59	NA	NA	0	0	0.38
Flex	F1B	1.6	NA	NA	0	0	0.39
Flex	F5A	1.52	NA	NA	0	0	0.39
Flex	F5B	1.52	NA	NA	0	0	0.39
NextGEM3P	F1A	2.94	NA	0.01	0.77	0.01	0.69
NextGEM3P	F1B	2.94	NA	0.01	0.77	0.01	0.68
NextGEM3P	F5A	2.92	NA	0	0.76	0.01	0.68
NextGEM3P	F5B	2.98	NA	0	0.77	0.01	0.67
GEMX3P	F1A	2.17	NA	0.01	0.59	0.01	0.68
GEMX3P	F1B	2.15	NA	0.01	0.58	0.01	0.68
GEMX3P	F5A	2.18	NA	0	0.57	0	0.67
GEMX3P	F5B	2.17	NA	0.01	0.57	0	0.67
Fluent_v4	F1A	3.36	NA	0.01	0.56	0.01	0.62
Fluent_v4	F1B	3.4	NA	0.01	0.57	0.01	0.61
Fluent_v4	F5A	3.45	NA	0.01	0.58	0.01	0.56
Fluent_v4	F5B	3.43	NA	0.01	0.57	0.01	0.56
Fluent_V	F1A	3.59	NA	0.01	0.58	0.01	0.69
Fluent_V	F1B	3.5	NA	0.01	0.56	0.01	0.67
Fluent_V	F5A	3.33	NA	0.01	0.53	0.01	0.66
Fluent_V	F5B	3.46	NA	0.01	0.57	0.01	0.66
Parse_v3	F1A	2.92	0.35	0	0.6	0.01	0.8
Parse_v3	F1B	2.9	0.35	0	0.59	0.01	0.79
Parse_v3	F5A	3.09	0.36	0	0.59	0.01	0.78
Parse_v3	F5B	3.13	0.34	0	0.61	0.01	0.8
Scale	F1A	5.75	NA	0.02	0.51	0.02	0.94
Scale	F1B	5.69	NA	0.02	0.51	0.03	0.95
Scale	F5A	5.31	NA	0.02	0.46	0.02	0.83
Scale	F5B	5.69	NA	0.02	0.5	0.03	0.91
