Kit	Celltype	y	prop
Flex	B naive	76	0.0559178195244935
Flex	B memory	73	0.0460221677584281
Flex	CD4+ T	28	0.34600473165887
Flex	CD8+ T	29	0.298546829030482
Flex	NK	62	0.0758010097874037
Flex	Classical monocyte	33	0.105089054246138
Flex	Non-classical monocyte	56	0.034625608493358
Flex	Dendritic	62	0.0215836824737608
Flex	pDC	155	0.00404908112987129
Flex	Megakaryocyte	194	0.00795753945388854
Flex	Granulocyte	415	0.00172223209230393
NextGEM3P	B naive	72	0.0534867486903198
NextGEM3P	B memory	66	0.0468613615532777
NextGEM3P	CD4+ T	23	0.389846398067214
NextGEM3P	CD8+ T	28	0.262163171920101
NextGEM3P	NK	64	0.0673037208377001
NextGEM3P	Classical monocyte	36	0.12622363393031
NextGEM3P	Non-classical monocyte	55	0.0275853675908345
NextGEM3P	Dendritic	63	0.012872555459417
NextGEM3P	pDC	169	0.00327935651549461
NextGEM3P	Megakaryocyte	166	0.00954752390465833
NextGEM3P	Erythrocyte	288	0.00083016153067236
GEMX3P	B naive	36	0.0639590917852547
GEMX3P	B memory	37	0.0430565073621765
GEMX3P	CD4+ T	13	0.329345615566283
GEMX3P	CD8+ T	14	0.247560571110812
GEMX3P	NK	34	0.0502965015001352
GEMX3P	Classical monocyte	14	0.117380471308956
GEMX3P	Non-classical monocyte	30	0.0242834281484276
GEMX3P	Dendritic	35	0.0136335779699045
GEMX3P	pDC	114	0.00318169460287065
GEMX3P	Megakaryocyte	67	0.0202949280547567
GEMX3P	Erythrocyte	156	0.00413465258879022
GEMX3P	Granulocyte	496	0.00094378466401047
Fluent_v4	B naive	110	0.0501927320313717
Fluent_v4	B memory	106	0.0467161472063381
Fluent_v4	CD4+ T	54	0.345101406065233
Fluent_v4	CD8+ T	55	0.301336230257829
Fluent_v4	NK	73	0.0766968057728123
Fluent_v4	Classical monocyte	84	0.0767453164337805
Fluent_v4	Non-classical monocyte	100	0.027896871954653
Fluent_v4	Dendritic	122	0.011890272576203
Fluent_v4	pDC	293	0.0035296070909165
Fluent_v4	Megakaryocyte	239	0.00478492897941934
Fluent_V	B naive	64	0.0666047712739234
Fluent_V	B memory	55	0.0605882376366548
Fluent_V	CD4+ T	30	0.420785077847624
Fluent_V	CD8+ T	32	0.266901155645871
Fluent_V	NK	69	0.0641287069856104
Fluent_V	Classical monocyte	100	0.0533921923092082
Fluent_V	Non-classical monocyte	73	0.0408684781021035
Fluent_V	Dendritic	80	0.015164913039148
Fluent_V	pDC	138	0.00568607959049026
Fluent_V	Megakaryocyte	280	0.00466034408813539
Fluent_V	Erythrocyte	369	0.00105972167163471
Parse_v3	B naive	152	0.049480213791269
Parse_v3	B memory	143	0.0474025266969877
Parse_v3	CD4+ T	46	0.368209551964416
Parse_v3	CD8+ T	50	0.272449724272224
Parse_v3	NK	150	0.0635915756681378
Parse_v3	Classical monocyte	86	0.148529778347815
Parse_v3	Non-classical monocyte	187	0.0337807079223879
Parse_v3	Dendritic	230	0.0111621348975435
Parse_v3	pDC	322	0.0041055131579279
Scale	B naive	73	0.0544952377229524
Scale	B memory	67	0.0532863907218871
Scale	CD4+ T	43	0.324011420863479
Scale	CD8+ T	52	0.21597139176384
Scale	NK	80	0.058870123510132
Scale	Classical monocyte	76	0.164817989239166
Scale	Non-classical monocyte	99	0.0279228327830362
Scale	Dendritic	96	0.0124699867516461
Scale	pDC	240	0.0031681160978083
