Sample	variable	value	next_remaining	difference	prop	File	Kit	Individual	Replicate	Sensitivity
Flex_F1A	reads_in_fastqs	227465450	214887569	12577881	0.0552957866788121	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	reads_mapped_transcriptome	214887569	202213449	12674120	0.0557188795045577	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	reads_in_matrix	202213449	0	202213449	0.88898533381663	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1B	reads_in_fastqs	260339619	245010845	15328774	0.058879912549922	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	reads_mapped_transcriptome	245010845	231565643	13445202	0.0516448554839438	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	reads_in_matrix	231565643	0	231565643	0.889475231966134	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F5A	reads_in_fastqs	257822201	243039481	14782720	0.0573368776725322	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	reads_mapped_transcriptome	243039481	229202214	13837267	0.0536698040212604	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	reads_in_matrix	229202214	0	229202214	0.888993318306207	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5B	reads_in_fastqs	229428710	216791762	12636948	0.0550800638682055	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	reads_mapped_transcriptome	216791762	204127352	12664410	0.0551997611807171	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	reads_in_matrix	204127352	0	204127352	0.889720174951077	B2-FL-F5B_BC04	Flex	F5	B	5
Fluent_V_F1A	reads_in_fastqs	466400000	311373347	155026653	0.33238990780446	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	reads_mapped_transcriptome	311373347	239827286	71546061	0.153400645368782	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	reads_in_matrix	239827286	0	239827286	0.514209446826758	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1B	reads_in_fastqs	440400000	314022348	126377652	0.2869610626703	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	reads_mapped_transcriptome	314022348	243005370	71016978	0.161255626702997	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	reads_in_matrix	243005370	0	243005370	0.551783310626703	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F5A	reads_in_fastqs	450775000	362784316	87990684	0.195198677832622	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	reads_mapped_transcriptome	362784316	297990311	64794005	0.143739127058954	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	reads_in_matrix	297990311	0	297990311	0.661062195108424	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5B	reads_in_fastqs	475175000	353598966	121576034	0.255855282790551	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	reads_mapped_transcriptome	353598966	292155241	61443725	0.129307570894933	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	reads_in_matrix	292155241	0	292155241	0.614837146314516	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_v4_F1A	reads_in_fastqs	449738139	358109116	91629023	0.203738609324392	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	reads_mapped_transcriptome	358109116	170103193	188005923	0.41803419967458	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1A	reads_in_matrix	170103193	0	170103193	0.378227191001028	B2-FBv4_F1A	Fluent_v4	F1	A	5
Fluent_v4_F1B	reads_in_fastqs	415600000	322187375	93412625	0.224765700192493	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	reads_mapped_transcriptome	322187375	145370132	176817243	0.425450536573628	B2-FBv4_F1B	Fluent_v4	F1	B	5
Fluent_v4_F1B	reads_in_matrix	145370132	0	145370132	0.349783763233879	B2-FBv4_F1B	Fluent_v4	F1	B	5
