Sample	nreads	median_genes	median_umi	File	Kit	Individual	Replicate	Sensitivity
Flex_F1A	5000	1471	2152	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	7500	1768	2754	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	1000	496	581	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	2500	981	1288	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	12500	2099	3522	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	15000	2200	3773	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	17500	2276	3971	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	10000	1962	3192	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	20997	2392	4287	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	20000	2334	4127	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1A	0	0	0	B2-FL-F1A_BC01	Flex	F1	A	5
Flex_F1B	12500	2125	3572	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	15000	2225	3826	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	1000	504	593	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	2500	994	1313	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	5000	1489	2190	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	0	0	0	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	10000	1988	3241	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	21996	2417	4348	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	17500	2303	4026	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	20000	2360	4189	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F1B	7500	1789	2797	B2-FL-F1B_BC02	Flex	F1	B	5
Flex_F5A	1000	530	624	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	22946	2518	4587	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	10000	2073	3413	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	2500	1045	1383	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	7500	1870	2946	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	0	0	0	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	12500	2215	3767	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	5000	1560	2301	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	20000	2459	4416	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	17500	2399	4246	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5A	15000	2320	4036	B2-FL-F5A_BC03	Flex	F5	A	5
Flex_F5B	0	0	0	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	2500	1032	1358	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	1000	523	614	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	10000	2059	3364	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	12500	2200	3712	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	5000	1545	2267	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	7500	1856	2905	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	20000	2445	4356	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	22565	2504	4524	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	15000	2303	3978	B2-FL-F5B_BC04	Flex	F5	B	5
Flex_F5B	17500	2383	4187	B2-FL-F5B_BC04	Flex	F5	B	5
Fluent_V_F1A	5000	740	1608	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	12500	1109	2648	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	15000	1180	2881	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	7500	901	2013	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	10000	1019	2365	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	22500	1326	3268	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	25000	1360	3381	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	17500	1238	3077	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	20000	1287	3244	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	1000	275	426	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	2500	499	945	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1A	0	0	0	B2-FBv5_F1A	Fluent_V	F1	A	3
Fluent_V_F1B	12500	1119	2674	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	15000	1188	2903	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	17500	1245	2992	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	20000	1291	3141	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	22500	1331	3269	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	25000	1364	3381	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	5000	753	1585	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	7500	915	2043	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	1000	282	439	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	2500	510	969	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	10000	1031	2395	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F1B	0	0	0	B2-FBv5_F1B	Fluent_V	F1	B	3
Fluent_V_F5A	1000	320	533	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	2500	566	1151	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	20000	1323	3373	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	22500	1356	3494	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	25000	1384	3598	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	12500	1170	2858	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	5000	820	1822	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	7500	978	2309	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	10000	1089	2673	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	15000	1233	3062	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	17500	1282	3231	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5A	0	0	0	B2-FBv5_F5A	Fluent_V	F5	A	3
Fluent_V_F5B	1000	326	523	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	10000	1189	2810	B2-FBv5_F5B	Fluent_V	F5	B	3
Fluent_V_F5B	2500	590	1151	B2-FBv5_F5B	Fluent_V	F5	B	3
