Sample	nreads	median_umi	median_genes	File	Kit	Individual	Replicate
GEMX5P_F1	0	0	0	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	1000	605	376	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	2500	1440	726	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	5000	2658	1145	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	7500	3695	1456	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	10000	4582	1697	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	12500	5348	1889	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	15000	6011	2050	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	17500	6591	2182	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	20000	7095	2292	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	22500	7540	2388	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	25000	7935	2470	GEMX_F1	GEMX5P	F1	A
GEMX5P_F2	0	0	0	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	1000	605	369	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	2500	1441	709	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	5000	2663	1118	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	7500	3712	1422	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	10000	4615	1659	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	12500	5394	1852	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	15000	6077	2009	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	17500	6675	2141	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	20000	7196	2252	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	22500	7659	2349	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	25000	8075	2432	GEMX_F2	GEMX5P	F2	A
GEMX5P_F4	0	0	0	GEMX_F4	GEMX5P	F4	A
GEMX5P_F4	1000	567	360	GEMX_F4	GEMX5P	F4	A
