Kit	sample	cells_loaded	cells_recovered	after_qc_filtering	after_doublet_filtering	productive_tcells_recovered
NextGEM5P	F1A	17304	7098	6724	6237	4548
NextGEM5P	F2A	17110	9723	9434	8253	6981
GEMX5P	F1A	30408	18103	16815	15358	12313
GEMX5P	F2A	30015	22708	21769	19672	18251
GEMX5P	F4A	28917	19601	18666	17085	14258
GEMX5P	F5A	29213	21211	19822	17913	14565
Parse_v2	F1A	89040	23921	23691	22222	6672
Parse_v2	F2A	98616	23022	22932	21647	8837
Parse_v2	F4A	91056	22072	21907	20995	7734
Parse_v2	F5A	92736	22285	22130	21269	7972
