Kit	sample	not shared	other	mitochondrial	ribosomal	lncRNA	unidentified	identified_protein_coding
NextGEM5P	F1A	0.66344	2.41069	1.4733	10.11533	2.67286	1.18354	81.48084
NextGEM5P	F2A	0.76155	2.24936	1.47492	11.0225	2.58889	1.19021	80.71258
GEMX5P	F1A	0.68447	2.38677	1.46836	8.96255	2.63141	1.09573	82.77071
GEMX5P	F2A	0.77235	2.20405	1.45864	9.6801	2.50027	1.10958	82.27502
GEMX5P	F4A	0.78567	2.23104	1.34402	9.20134	2.46285	1.07011	82.90499
GEMX5P	F5A	0.85664	2.35729	1.44122	8.65661	2.61101	1.06466	83.01256
Parse_v2	F1A	2.80423	1.90855	0.26672	1.31255	2.72216	0.7802	90.2056
Parse_v2	F2A	2.93935	1.89877	0.27265	1.4691	2.67551	0.78022	89.9644
Parse_v2	F4A	2.77569	1.81698	0.25326	1.67642	2.49319	0.76043	90.22404
Parse_v2	F5A	3.07304	1.98791	0.28046	1.49533	2.80068	0.77538	89.58722
