Sample	variable	value	next_remaining	difference	prop	File	Kit	Individual	Replicate
GEMX5P_F1	reads_in_fastqs	468500000	302262120	166237880	0.354830053361793	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	reads_mapped_transcriptome	302262120	287107161	15154959	0.0323478313767343	GEMX_F1	GEMX5P	F1	A
GEMX5P_F1	reads_in_matrix	287107161	0	287107161	0.612822115261473	GEMX_F1	GEMX5P	F1	A
GEMX5P_F2	reads_in_fastqs	578825000	380610673	198214327	0.342442581091003	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	reads_mapped_transcriptome	380610673	368950742	11659931	0.0201441385565585	GEMX_F2	GEMX5P	F2	A
GEMX5P_F2	reads_in_matrix	368950742	0	368950742	0.637413280352438	GEMX_F2	GEMX5P	F2	A
GEMX5P_F4	reads_in_fastqs	490400000	299232632	191167368	0.389819265905383	GEMX_F4	GEMX5P	F4	A
GEMX5P_F4	reads_mapped_transcriptome	299232632	285552973	13679659	0.0278949000815661	GEMX_F4	GEMX5P	F4	A
GEMX5P_F4	reads_in_matrix	285552973	0	285552973	0.582285834013051	GEMX_F4	GEMX5P	F4	A
GEMX5P_F5	reads_in_fastqs	538300000	321522783	216777217	0.402707072264537	GEMX_F5	GEMX5P	F5	A
GEMX5P_F5	reads_mapped_transcriptome	321522783	303157295	18365488	0.0341175701281813	GEMX_F5	GEMX5P	F5	A
GEMX5P_F5	reads_in_matrix	303157295	0	303157295	0.563175357607282	GEMX_F5	GEMX5P	F5	A
NextGEM5P_F1	reads_in_fastqs	179900000	127537739	52362261	0.291063151750973	NextGEM_F1	NextGEM5P	F1	A
NextGEM5P_F1	reads_mapped_transcriptome	127537739	123176000	4361739	0.0242453529738744	NextGEM_F1	NextGEM5P	F1	A
NextGEM5P_F1	reads_in_matrix	123176000	0	123176000	0.684691495275153	NextGEM_F1	NextGEM5P	F1	A
NextGEM5P_F2	reads_in_fastqs	245175000	173475241	71699759	0.292443189558479	NextGEM_F2	NextGEM5P	F2	A
NextGEM5P_F2	reads_mapped_transcriptome	173475241	168919919	4555322	0.0185798796777812	NextGEM_F2	NextGEM5P	F2	A
NextGEM5P_F2	reads_in_matrix	168919919	0	168919919	0.68897693076374	NextGEM_F2	NextGEM5P	F2	A
Parse_v2_F1	reads_in_fastqs	587724624	312107918	275616706	0.468955518868987	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	reads_mapped_transcriptome	312107918	283937876	28170042	0.0479306819038435	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F1	reads_in_matrix	283937876	0	283937876	0.48311379922717	B1-PA-F1	Parse_v2	F1	A
Parse_v2_F2	reads_in_fastqs	601767493	320568772	281198721	0.46728798792061	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	reads_mapped_transcriptome	320568772	286276847	34291925	0.0569853396850069	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F2	reads_in_matrix	286276847	0	286276847	0.475726672394383	B1-PA-F2	Parse_v2	F2	A
Parse_v2_F4	reads_in_fastqs	497173850	274787822	222386028	0.447300331664668	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	reads_mapped_transcriptome	274787822	250029331	24758491	0.0497984578231538	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F4	reads_in_matrix	250029331	0	250029331	0.502901210512178	B1-PA-F4	Parse_v2	F4	A
Parse_v2_F5	reads_in_fastqs	468123748	260918983	207204765	0.442628185143899	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	reads_mapped_transcriptome	260918983	240308055	20610928	0.0440288024011976	B1-PA-F5	Parse_v2	F5	A
Parse_v2_F5	reads_in_matrix	240308055	0	240308055	0.513343012454903	B1-PA-F5	Parse_v2	F5	A
