Sample	chain_group	n	total	cost	Kit	Individual	cost_per_clonotype_group
GEMX5P_F1	complete	8385	8385	6811	GEMX5P	F1	0.203070960047704
GEMX5P_F1	complex	1674	10059	6811	GEMX5P	F1	0.169276270006959
GEMX5P_F1	partial	1352	11411	6811	GEMX5P	F1	0.149220050828148
GEMX5P_F2	complete	13778	13778	6811	GEMX5P	F2	0.12358470024677
GEMX5P_F2	complex	3347	17125	6811	GEMX5P	F2	0.0994306569343066
GEMX5P_F2	partial	1492	18617	6811	GEMX5P	F2	0.0914621045281195
GEMX5P_F4	complete	9407	9407	6811	GEMX5P	F4	0.181008823216753
GEMX5P_F4	complex	2146	11553	6811	GEMX5P	F4	0.147385960356617
GEMX5P_F4	partial	1643	13196	6811	GEMX5P	F4	0.129035313731434
GEMX5P_F5	complete	10263	10263	6811	GEMX5P	F5	0.165911526844003
GEMX5P_F5	complex	2153	12416	6811	GEMX5P	F5	0.137141591494845
GEMX5P_F5	partial	1716	14132	6811	GEMX5P	F5	0.120488961222757
NextGEM5P_F1	complete	3432	3432	7840	NextGEM5P	F1	0.571095571095571
NextGEM5P_F1	complex	522	3954	7840	NextGEM5P	F1	0.495700556398584
NextGEM5P_F1	partial	955	4909	7840	NextGEM5P	F1	0.399266653086168
NextGEM5P_F2	complete	5605	5605	7840	NextGEM5P	F2	0.349687778768956
NextGEM5P_F2	complex	1171	6776	7840	NextGEM5P	F2	0.289256198347107
NextGEM5P_F2	partial	1403	8179	7840	NextGEM5P	F2	0.23963809756694
Parse_v2_F1	complete	4562	4562	12500	Parse_v2	F1	0.68500657606313
Parse_v2_F1	complex	1272	5834	12500	Parse_v2	F1	0.535653068220775
Parse_v2_F1	partial	8421	14255	12500	Parse_v2	F1	0.219221325850579
Parse_v2_F2	complete	6777	6777	12500	Parse_v2	F2	0.461118489006935
Parse_v2_F2	complex	1761	8538	12500	Parse_v2	F2	0.366010775357227
Parse_v2_F2	partial	9343	17881	12500	Parse_v2	F2	0.174766511940048
Parse_v2_F4	complete	5470	5470	12500	Parse_v2	F4	0.571297989031079
Parse_v2_F4	complex	1157	6627	12500	Parse_v2	F4	0.471555756752678
Parse_v2_F4	partial	7650	14277	12500	Parse_v2	F4	0.218883518946557
Parse_v2_F5	complete	5642	5642	12500	Parse_v2	F5	0.553881602268699
Parse_v2_F5	complex	1234	6876	12500	Parse_v2	F5	0.454479348458406
Parse_v2_F5	partial	8331	15207	12500	Parse_v2	F5	0.205497468271191
