gene_symbol	aliases	expression_level	celltype	relative_to	tissue	species	condition	assay	confidence	date_added	references	notes
MS4A1		Increased	B	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/16/24	https://doi.org/10.3390/ijms25073828; https://doi.org/10.3389/fimmu.2023.1223471; https://doi.org/10.1038/s41587-020-0465-8	cellxgene
CD19		Increased	B	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/22/24	https://doi.org/10.1002/eji.201747168; https://doi.org/10.1038/s41587-020-0465-8; https://doi.org/10.3389/fimmu.2023.1223471	cellxgene
CD79A		Increased	B	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/22/24	https://doi.org/10.3389/fimmu.2023.1223471; https://doi.org/10.1038/s41587-020-0465-8	cellxgene
CD79B		Increased	B	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/22/24	https://doi.org/10.3389/fimmu.2023.1223471; https://doi.org/10.1038/s41587-020-0465-8	cellxgene
AFF3		Increased	B	Leukocyte	PBMC	Homo sapiens	NA	GEX	med	10/22/24	https://doi.org/10.3389/fimmu.2023.1223471	
BANK1		Increased	B	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/22/24	https://doi.org/10.3389/fimmu.2023.1223471	
BLK		Increased	B	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/22/24	https://doi.org/10.3389/fimmu.2023.1223471	
BTLA		Increased	B	Leukocyte	PBMC	Homo sapiens	NA	GEX	med	10/22/24	https://doi.org/10.3389/fimmu.2023.1223471	
IGHM		Increased	B	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/22/24	https://doi.org/10.3389/fimmu.2023.1223471	
IGHG3		Increased	B	Leukocyte	PBMC	Homo sapiens	NA	GEX	med	10/22/24	https://doi.org/10.3389/fimmu.2023.1223471	
IL7R		Increased	CD4+ T	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	9/9/24	https://doi.org/10.1038/s41587-020-0465-8	cellxgene
CD4		Increased	CD4+ T	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/16/24	https://doi.org/10.3390/ijms25073828	cellxgene
CD27		Increased	CD4+ T	Leukocyte	PBMC	Homo sapiens	NA	GEX	med	11/1/24	https://doi.org/10.1038/s41587-020-0465-8	cellxgene
IL7R		Increased	CD4+ T	CD8+ T	PBMC	Homo sapiens	NA	GEX	med	11/1/24	cellxgene	cellxgene
CD8A		Increased	CD8+ T	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/16/24	https://doi.org/10.3390/ijms25073828	cellxgene
GZMA		Increased	CD8+ T	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/23/24	https://www.sc-best-practices.org/cellular_structure/annotation.html	cellxgene
GZMB		Increased	CD8+ T	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/23/24	https://www.sc-best-practices.org/cellular_structure/annotation.html	cellxgene
GZMH		Increased	CD8+ T	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	10/23/24	https://www.sc-best-practices.org/cellular_structure/annotation.html	cellxgene
CD8A		Increased	CD8+ T	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	11/1/24	https://doi.org/10.1038/s41587-020-0465-8	cellxgene
CD8B		Increased	CD8+ T	Leukocyte	PBMC	Homo sapiens	NA	GEX	high	11/1/24	https://doi.org/10.1038/s41587-020-0465-8	cellxgene
