Assay	max_umi	rd50	req_reads_2000_umi	seq_cost_80k_cells	observed_cells	full_seq_cost
Flex	6228.93884896777	8970.64393552433	4242.5035007134	509.100420085608	142956	909.736995671977
NextGEM5P	7197.12616594	9646.91663408772	3712.4042503759	445.488510045108	28070	156.310780962077
NextGEM3P	9032.15252132707	14293.4401404421	4065.16784074094	487.820140888913	34154	208.262613648999
GEMX5P	16391.4564197467	26590.2293760821	3695.27983833482	443.433580600179	68486	379.612402512298
GEMX3P	17834.0164998875	32415.0193596386	4094.35210072806	491.322252087368	82221	504.962586110943
Fluent_v4	3145.58513541825	10232.7237467457	17864.6238160374	2143.75485792449	60201	1613.2023275239
Fluent_V	4882.06830558958	9114.06798875545	6324.67174430206	758.960609316247	68933	653.967896024961
Parse_v2	6875.59531684711	14395.9232089371	5905.29864494436	708.635837393323	92754	821.610105769753
Parse_v3	6856.6712230258	24451.620166644	10069.2919260078	1208.31503112093	74281	1121.93561033368
Scale	5140.19518398691	9057.51711321253	5768.76059131634	692.251270957961	109626	948.609222875467
